rightx,righty,topx,topy,bottomx,bottomy,leftx,lefty
1000.00767445564,-5.36441802978516e-006,-5.00679016113281e-006,999.996163755655,5.00679016113281e-006,-999.996163666248,-1000.00767087936,5.45382499694824e-006
1000.00880908966,-6.58631324768066e-006,-6.67572021484375e-006,999.995596110821,5.96046447753906e-006,-999.995596110821,-1000.00880646706,6.67572021484375e-006
1000.01002287865,-8.01682472229004e-006,-8.34465026855469e-006,999.994989335537,7.15255737304688e-006,-999.994989305735,-1000.01002001762,8.07642936706543e-006
1000.01131486893,-9.65595245361328e-006,-1.00135803222656e-005,999.994343459606,8.58306884765625e-006,-999.994343400002,-1000.01131176949,9.65595245361328e-006
1000.0126850605,-1.1444091796875e-005,-1.19209289550781e-005,999.993658363819,1.00135803222656e-005,-999.993658363819,-1000.01268196106,1.1444091796875e-005
1000.01413345337,-1.34706497192383e-005,-1.38282775878906e-005,999.99293410778,1.16825103759766e-005,-999.992934167385,-1000.01413035393,1.33514404296875e-005
1000.01566052437,-1.56164169311523e-005,-1.62124633789062e-005,999.992170870304,1.38282775878906e-005,-999.992170810699,-1000.01565694809,1.56164169311523e-005
1000.01726579666,-1.80602073669434e-005,-1.9073486328125e-005,999.991368293762,1.64508819580078e-005,-999.991368472576,-1000.01726198196,1.8000602722168e-005
1000.01894903183,-2.06828117370605e-005,-2.14576721191406e-005,999.990526676178,1.9073486328125e-005,-999.990526854992,-1000.01894497871,2.08616256713867e-005
1000.02071046829,-2.36034393310547e-005,-2.47955322265625e-005,999.989645957947,2.19345092773438e-005,-999.989646017551,-1000.02070689201,2.39014625549316e-005
1000.02255010605,-2.67624855041504e-005,-2.81333923339844e-005,999.988725960255,2.50339508056641e-005,-999.988726019859,-1000.02254700661,2.71201133728027e-005
1000.02446842194,-3.02791595458984e-005,-3.17096710205078e-005,999.987766861916,2.83718109130859e-005,-999.987766981125,-1000.02446508408,3.06963920593262e-005
1000.02646493912,-3.41534614562988e-005,-3.52859497070312e-005,999.98676866293,3.19480895996094e-005,-999.986768841743,-1000.02646183968,3.44514846801758e-005
1000.02853989601,-3.83257865905762e-005,-3.93390655517578e-005,999.985731244087,3.62396240234375e-005,-999.985731482506,-1000.02853655815,3.85046005249023e-005
1000.03069257736,-4.27961349487305e-005,-4.41074371337891e-005,999.984654784203,4.05311584472656e-005,-999.984655022621,-1000.03068995476,4.28557395935059e-005
1000.03292441368,-4.75049018859863e-005,-4.86373901367188e-005,999.983539104462,4.52995300292969e-005,-999.983539223671,-1000.03292155266,4.76837158203125e-005
1000.03523349762,-5.26309013366699e-005,-5.340576171875e-005,999.982384204865,5.03063201904297e-005,-999.982384562492,-1000.03523159027,5.26309013366699e-005
1000.03762173653,-5.80549240112305e-005,-5.81741333007812e-005,999.98119032383,5.60283660888672e-005,-999.981190562248,-1000.03761935234,5.80549240112305e-005
1000.04008841515,-6.36577606201172e-005,-6.43730163574219e-005,999.979957282543,6.17504119873047e-005,-999.979957401752,-1000.04008579254,6.39557838439941e-005
1000.04263353348,-6.97970390319824e-005,-7.05718994140625e-005,999.9786850214,6.79492950439453e-005,-999.978685319424,-1000.04263019562,7.01546669006348e-005
