earthx,earthy,jwx,jwy
39564393.890999,3440176041.579337,-1460035678.647608,3474670251.580925
40598666.743001,3484845620.451302,-1458990951.059297,3519787726.015094
41646282.621668,3529514888.416365,-1457932745.567493,3564904886.399568
42707241.433562,3574183841.489275,-1456861062.266521,3610021728.708809
43781543.084055,3618852475.684807,-1455775901.251903,3655138248.917307
44869187.477328,3663520787.017772,-1454677262.620366,3700254442.999581
45970174.516372,3708188771.502997,-1453565146.469837,3745370306.930179
47084504.102989,3752856425.155346,-1452439552.899443,3790485836.683681
48212176.137791,3797523743.989716,-1451300482.009513,3835601028.234687
49353190.520197,3842190724.021026,-1450147933.901580,3880715877.557839
50507547.148440,3886857361.264230,-1448981908.678374,3925830380.627803
51675245.919561,3931523651.734311,-1447802406.443830,3970944533.419279
52856286.729411,3976189591.446281,-1446609427.303082,4016058331.906993
54050669.472651,4020855176.415187,-1445402971.362465,4061171772.065709
55258394.042752,4065520402.656106,-1444183038.729518,4106284849.870215
56479460.331996,4110185266.184146,-1442949629.512978,4151397561.295342
57713868.231474,4154849763.014450,-1441702743.822784,4196509902.315944
58961617.631088,4199513889.162189,-1440442381.770080,4241621868.906913
60222708.419548,4244177640.642571,-1439168543.467204,4286733457.043171
61497140.484376,4288841013.470837,-1437881229.027702,4331844662.699679
62784913.711903,4333504003.662262,-1436580438.566317,4376955481.851424
64086027.987272,4378166607.232153,-1435266172.198997,4422065910.473431
65400483.194434,4422828820.195852,-1433938430.042885,4467175944.540764
66728279.216150,4467490638.568737,-1432597212.216332,4512285580.028520
68069415.933993,4512152058.366220,-1431242518.838887,4557394812.911822
69423893.228344,4556813075.603752,-1429874350.031298,4602503639.165848
70791710.978397,4601473686.296816,-1428492705.915519,4647612054.765791
72172869.062152,4646133886.460932,-1427097586.614701,4692720055.686894
73567367.356422,4690793672.111654,-1425688992.253198,4737827637.904435
74975205.736831,4735453039.264580,-1424266922.956564,4782934797.393724
76396384.077810,4780111983.935339,-1422831378.851557,4828041530.130117
77830902.252603,4824770502.139602,-1421382360.066132,4873147832.088998
79278760.133263,4869428589.893071,-1419919866.729448,4918253699.245797
80739957.590654,4914086243.211495,-1418443898.971863,4963359127.575981
82214494.494448,4958743458.110661,-1416954456.924937,5008464113.055057
83702370.713131,5003400230.606386,-1415451540.721433,5053568651.658563
85203586.113995,5048056556.714533,-1413935150.495311,5098672739.362087
86718140.563146,5092712432.451008,-1412405286.381734,5143776372.141254
88246033.925497,5137367853.831752,-1410861948.517068,5188879545.971726
89787266.064775,5182022816.872745,-1409305137.038877,5233982256.829212
91341836.843513,5226677317.590014,-1407734852.085926,5279084500.689453
92909746.123058,5271331351.999621,-1406151093.798185,5324186273.528243
94490993.763565,5315984916.117680,-1404553862.316818,5369287571.321410
96085579.624001,5360638005.960330,-1402943157.784197,5414388390.044825
97693503.562141,5405290617.543767,-1401318980.343890,5459488725.674406
99314765.434574,5449942746.884225,-1399681330.140669,5504588574.186110
100949365.096695,5494594389.997977,-1398030207.320505,5549687931.555939
102597302.402713,5539245542.901345,-1396365612.030571,5594786793.759932
104258577.205646,5583896201.610691,-1394687544.419239,5639885156.774184
105933189.357321,5628546362.142425,-1392996004.636085,5684983016.574825
107621138.708379,5673196020.512995,-1391290992.831883,5730080369.138036
109322425.108268,5717845172.738899,-1389572509.158608,5775177210.440034
111037048.405247,5762493814.836679,-1387840553.769439,5820273536.457093
112765008.446387,5807141942.822925,-1386095126.818752,5865369343.165527
114506305.077569,5851789552.714264,-1384336228.462124,5910464626.541699
116260938.143484,5896436640.527382,-1382563858.856336,5955559382.562013
118028907.487633,5941083202.278999,-1380778018.159368,6000653607.202920
119810212.952329,5985729233.985892,-1378978706.530399,6045747296.440923
121604854.378694,6030374731.664878,-1377165924.129811,6090840446.252572
123412831.606661,6075019691.332826,-1375339671.119186,6135933052.614466
125234144.474975,6119664109.006649,-1373499947.661308,6181025111.503246
127068792.821189,6164307980.703315,-1371646753.920159,6226116618.895603
128916776.481668,6208951302.439831,-1369780090.060923,6271207570.768290
130778095.291589,6253594070.233262,-1367899956.249985,6316297963.098091
132652749.084936,6298236280.100720,-1366006352.654931,6361387791.861853
134540737.694508,6342877928.059362,-1364099279.444547,6406477053.036462
136442060.951911,6387519010.126407,-1362178736.788819,6451565742.598866
138356718.687564,6432159522.319105,-1360244724.858933,6496653856.526056
140284710.730695,6476799460.654775,-1358297243.827278,6541741390.795075
142226036.909344,6521438821.150778,-1356336293.867443,6586828341.383026
144180697.050360,6566077599.824528,-1354361875.154216,6631914704.267048
146148690.979406,6610715792.693491,-1352373987.863587,6677000475.424346
148130018.520952,6655353395.775187,-1350372632.172745,6722085650.832174
150124679.498281,6699990405.087187,-1348357808.260080,6767170226.467835
152132673.733485,6744626816.647115,-1346329516.305186,6812254198.308687
154154001.047470,6789262626.472647,-1344287756.488853,6857337562.332147
156188661.259949,6833897830.581515,-1342232528.993072,6902420314.515681
158236654.189449,6878532424.991507,-1340163834.001036,6947502450.836805
160297979.653305,6923166405.720461,-1338081671.697137,6992583967.273103
162372637.467665,6967799768.786270,-1335986042.266968,7037664859.802202
164460627.447488,7012432510.206882,-1333876945.897326,7082745124.401786
166561949.406541,7057064626.000305,-1331754382.776201,7127824757.049602
168676603.157405,7101696112.184596,-1329618353.092788,7172903753.723448
170804588.511470,7146326964.777871,-1327468857.037483,7217982110.401178
172945905.278939,7190957179.798306,-1325305894.801881,7263059823.060708
175100553.268825,7235586753.264131,-1323129466.578776,7308136887.680002
177268532.288949,7280215681.193631,-1320939572.562164,7353213300.237086
179449842.145949,7324843959.605152,-1318736212.947242,7398289056.710048
181644482.645268,7369471584.517096,-1316519387.930403,7443364153.077030
183852453.591164,7414098551.947922,-1314289097.709248,7488438585.316235
186073754.786704,7458724857.916152,-1312045342.482570,7533512349.405922
188308386.033768,7503350498.440359,-1309788122.450368,7578585441.324414
190556347.133044,7547975469.539186,-1307517437.813837,7623657857.050091
