hx0,hy0,hx1,hy1
3337.286453,-982.354706,-570.685280,384.322464
3354.303299,-993.695923,-575.424850,382.543854
3371.398209,-1005.141724,-580.184059,380.784180
3388.571548,-1016.692886,-584.962791,379.043701
3405.823181,-1028.349854,-589.761238,377.322891
3423.153572,-1040.113739,-594.579178,375.621567
3440.562637,-1051.985229,-599.416641,373.940140
3458.050636,-1063.964996,-604.273407,372.278915
3475.617767,-1076.054077,-609.149536,370.637680
3493.264183,-1088.253006,-614.044945,369.016708
3510.989922,-1100.562775,-618.959618,367.416534
3528.795219,-1112.984161,-623.893448,365.837250
3546.680374,-1125.518005,-628.846352,364.279007
3564.645294,-1138.165146,-633.818367,362.741974
3582.690224,-1150.926514,-638.809380,361.226318
3600.815353,-1163.802536,-643.819344,359.732117
3619.020714,-1176.794403,-648.848213,358.259796
3637.306557,-1189.902893,-653.895943,356.809479
3655.673119,-1203.128754,-658.962418,355.381363
3674.120445,-1216.473007,-664.047478,353.975616
3692.648697,-1229.936310,-669.151230,352.592636
3711.257889,-1243.519608,-674.273560,351.232101
3729.948357,-1257.223846,-679.414459,349.894730
3748.720291,-1271.049515,-684.573647,348.580704
3767.573654,-1284.998108,-689.751282,347.289703
3786.508659,-1299.070175,-694.947235,346.022491
3805.525452,-1313.266571,-700.161400,344.778976
3824.624115,-1327.588364,-705.393707,343.559387
3843.804962,-1342.036331,-710.644112,342.364029
3863.067871,-1356.611526,-715.912613,341.192841
3882.413132,-1371.314499,-721.199013,340.046341
3901.840897,-1386.146561,-726.503227,338.924561
3921.351242,-1401.108505,-731.825256,337.827637
3940.944336,-1416.201340,-737.164986,336.755829
3960.620331,-1431.425751,-742.522400,335.709503
3980.379379,-1446.782974,-747.897301,334.688522
4000.221512,-1462.273529,-753.289703,333.693558
4020.146950,-1477.898880,-758.699577,332.724487
4040.155792,-1493.659897,-764.126846,331.781418
4060.248085,-1509.557358,-769.571373,330.864670
4080.424065,-1525.592392,-775.033043,329.974426
4100.683670,-1541.765671,-780.511932,329.111038
4121.027206,-1558.078262,-786.007805,328.274536
4141.454720,-1574.531448,-791.520615,327.465210
4161.966354,-1591.125870,-797.050179,326.683060
4182.562317,-1607.862900,-802.596542,325.928482
4203.242577,-1624.743378,-808.159637,325.201553
4224.007217,-1641.768066,-813.739433,324.502609
4244.856499,-1658.938004,-819.335732,323.831772
4265.790466,-1676.254440,-824.948471,323.189423
4286.809128,-1693.718582,-830.577576,322.575439
4307.912796,-1711.331146,-836.222992,321.990067
4329.101341,-1729.093231,-841.884575,321.433670
4350.375000,-1747.006088,-847.562271,320.906281
4371.733879,-1765.070450,-853.256020,320.408249
4393.178078,-1783.287415,-858.965675,319.939957
4414.707611,-1801.658295,-864.691223,319.501175
4436.322655,-1820.184036,-870.432449,319.092438
4458.023262,-1838.865494,-876.189369,318.713806
4479.809502,-1857.704285,-881.961845,318.365356
4501.681549,-1876.701019,-887.749748,318.047409
4523.639412,-1895.856995,-893.553062,317.760178
4545.683212,-1915.173248,-899.371689,317.503784
4567.813057,-1934.651077,-905.205498,317.278458
4590.029045,-1954.291519,-911.054344,317.084518
4612.331253,-1974.095505,-916.918213,316.922150
4634.719604,-1994.064270,-922.796982,316.791489
4657.194427,-2014.198898,-928.690605,316.692703
4679.755539,-2034.500793,-934.598915,316.626068
4702.403122,-2054.970901,-940.521828,316.591507
4725.137169,-2075.610367,-946.459282,316.589676
4747.957954,-2096.420364,-952.411049,316.620377
4770.865425,-2117.401993,-958.377220,316.684052
4793.859642,-2138.556656,-964.357513,316.780930
4816.940598,-2159.885391,-970.352028,316.910934
4840.108490,-2181.389526,-976.360420,317.074570
4863.363327,-2203.070053,-982.382797,317.271896
4886.705070,-2224.928146,-988.419006,317.503204
4910.133911,-2246.965149,-994.468781,317.768509
4933.649796,-2269.182373,-1000.532188,318.068069
4957.252747,-2291.580978,-1006.609062,318.402283
4980.942947,-2314.162140,-1012.699303,318.771194
5004.720314,-2336.927170,-1018.802811,319.175186
5028.584900,-2359.877380,-1024.919624,319.614044
5052.536766,-2383.013779,-1031.049393,320.088257
5076.575958,-2406.337769,-1037.192116,320.597794
5100.702560,-2429.850464,-1043.347610,321.143463
5124.916466,-2453.553436,-1049.515907,321.725037
5149.217766,-2477.447922,-1055.696770,322.342560
5173.606476,-2501.534973,-1061.890190,322.996567
5198.082565,-2525.815964,-1068.096039,323.687073
5222.646080,-2550.292404,-1074.314117,324.414368
5247.297157,-2574.965591,-1080.544380,325.178452
5272.035690,-2599.836731,-1086.786644,325.979736
5296.861732,-2624.907089,-1093.040878,326.818527
5321.775269,-2650.178116,-1099.306892,327.694641
5346.776207,-2675.650986,-1105.584724,328.608643
5371.864601,-2701.327362,-1111.874161,329.560562
5397.040619,-2727.208450,-1118.174995,330.550629
5422.304054,-2753.295563,-1124.487152,331.579041
5447.655045,-2779.590088,-1130.810501,332.646362
5473.093452,-2806.093414,-1137.145096,333.752243
5498.619324,-2832.806870,-1143.490662,334.897064
5524.232620,-2859.731934,-1149.847031,336.081100
5549.933311,-2886.870224,-1156.214226,337.304474
5575.721390,-2914.222824,-1162.591995,338.567581
5601.596878,-2941.791245,-1168.980255,339.870392
5627.559578,-2969.577087,-1175.379051,341.213074
5653.609581,-2997.581680,-1181.788078,342.596069
5679.746811,-3025.806442,-1188.207214,344.019547
5705.971222,-3054.252716,-1194.636429,345.483643
5732.282906,-3082.922180,-1201.075417,346.988602
5758.681618,-3111.816559,-1207.524216,348.534409
5785.167389,-3140.936737,-1213.982681,350.121460
5811.740128,-3170.284424,-1220.450714,351.750107
5838.399857,-3199.861343,-1226.928040,353.420425
5865.146362,-3229.668762,-1233.414719,355.132721
5891.979691,-3259.708313,-1239.910507,356.887161
5918.899727,-3289.981506,-1246.415268,358.683594
5945.906425,-3320.489761,-1252.928947,360.522720
5972.999596,-3351.234711,-1259.451408,362.404480
6000.179382,-3382.217896,-1265.982430,364.329147
6027.445541,-3413.440918,-1272.521988,366.296753
6054.797852,-3444.904938,-1279.069847,368.308044
6082.236526,-3476.612167,-1285.625862,370.362534
6109.761322,-3508.563873,-1292.190025,372.461105
6137.371979,-3540.761642,-1298.762161,374.603470
6165.068588,-3573.207047,-1305.342110,376.790176
6192.850922,-3605.901978,-1311.929703,379.021042
6220.718964,-3638.847885,-1318.524918,381.296448
6248.672485,-3672.046494,-1325.127579,383.616562
6276.711494,-3705.499359,-1331.737358,385.981857
6304.835785,-3739.207977,-1338.354385,388.392258
6333.045311,-3773.173981,-1344.978394,390.848099
6361.339767,-3807.399475,-1351.609276,393.349503
6389.719177,-3841.885666,-1358.246628,395.896667
6418.183090,-3876.634460,-1364.890839,398.489975
6446.731705,-3911.647537,-1371.541580,401.129730
6475.364655,-3946.926514,-1378.198380,403.815872
6504.082016,-3982.473190,-1384.861481,406.548752
6532.883438,-4018.289230,-1391.530457,409.328613
6561.768570,-4054.376480,-1398.205292,412.155472
6590.737488,-4090.736557,-1404.885880,415.029755
6619.789841,-4127.371353,-1411.572250,417.951431
6648.925735,-4164.282455,-1418.263992,420.921051
6678.144714,-4201.471893,-1424.960922,423.938553
6707.446762,-4238.941177,-1431.662994,427.004318
6736.831558,-4276.692276,-1438.370300,430.118530
6766.298828,-4314.726883,-1445.082245,433.281357
6795.848450,-4353.046951,-1451.798981,436.493103
6825.480209,-4391.654190,-1458.520370,439.753799
6855.194016,-4430.550323,-1465.246185,443.063828
6884.989441,-4469.737259,-1471.975998,446.423477
6914.866180,-4509.217072,-1478.710083,449.832626
6944.823944,-4548.991470,-1485.448380,453.291779
6974.863007,-4589.062317,-1492.190155,456.801010
7004.982422,-4629.431458,-1498.935669,460.360626
7035.182449,-4670.100784,-1505.684662,463.970795
7065.462799,-4711.072021,-1512.437149,467.631973
7095.822998,-4752.347473,-1519.192902,471.344009
7126.263092,-4793.928726,-1525.951492,475.107391
7156.782272,-4835.818115,-1532.713135,478.922211
7187.380554,-4878.017334,-1539.477402,482.788956
7218.057587,-4920.528259,-1546.244217,486.707397
7248.813156,-4963.352997,-1553.013672,490.677841
7279.646774,-5006.493561,-1559.785202,494.700821
7310.558395,-5049.951843,-1566.558914,498.776276
7341.547592,-5093.729599,-1573.334625,502.904510
7372.613937,-5137.829300,-1580.112122,507.085815
7403.757263,-5182.252731,-1586.891052,511.320450
7434.976990,-5227.001999,-1593.671677,515.608551
7466.273163,-5272.079071,-1600.453476,519.950363
7497.645279,-5317.486145,-1607.236359,524.346039
7529.092850,-5363.225128,-1614.020432,528.795776
7560.615540,-5409.298035,-1620.805176,533.300049
7592.213043,-5455.707275,-1627.590683,537.858795
7623.884735,-5502.454361,-1634.376770,542.472672
7655.630524,-5549.541992,-1641.163254,547.141464
7687.450012,-5596.972183,-1647.949905,551.865585
7719.342850,-5644.746887,-1654.736649,556.645203
7751.308395,-5692.868408,-1661.523071,561.480484
7783.346283,-5741.338730,-1668.309113,566.371826
7815.456238,-5790.160049,-1675.094833,571.319504
7847.637878,-5839.334900,-1681.879654,576.323410
7879.890549,-5888.864960,-1688.663727,581.384094
7912.214066,-5938.752686,-1695.446732,586.501511
7944.607712,-5989.000397,-1702.228500,591.676178
7977.071136,-6039.610031,-1709.009109,596.908432
8009.604004,-6090.583893,-1715.788177,602.198090
8042.205688,-6141.924255,-1722.565659,607.545868
8074.875687,-6193.633575,-1729.341248,612.951675
8107.613541,-6245.714005,-1736.114777,618.415741
8140.419022,-6298.167801,-1742.886032,623.938400
8173.291290,-6350.997330,-1749.654938,629.519791
8206.229919,-6404.205032,-1756.421295,635.160187
8239.234360,-6457.792938,-1763.184875,640.860077
8272.304169,-6511.763672,-1769.945572,646.618988
8305.438690,-6566.119537,-1776.703217,652.438049
8338.637543,-6620.862762,-1783.457626,658.317047
8371.900284,-6675.995392,-1790.208527,664.256226
8405.226059,-6731.519928,-1796.955811,670.256134
8438.614365,-6787.439240,-1803.699280,676.316986
8472.064560,-6843.755707,-1810.438736,682.438538
8505.576340,-6900.471313,-1817.173920,688.621643
8539.148941,-6957.588531,-1823.904877,694.866180
8572.781708,-7015.110321,-1830.631195,701.172211
8606.474030,-7073.038757,-1837.352814,707.540161
8640.225327,-7131.376190,-1844.069656,713.970490
8674.034821,-7190.125671,-1850.781372,720.463135
8707.902069,-7249.288971,-1857.487854,727.018799
8741.826492,-7308.869568,-1864.188675,733.637207
8775.807312,-7368.869415,-1870.883850,740.318787
8809.843948,-7429.290710,-1877.573334,747.063843
8843.935333,-7490.136658,-1884.256683,753.872467
8878.081238,-7551.409637,-1890.933853,760.745422
8912.280716,-7613.112000,-1897.604767,767.682495
8946.533401,-7675.246277,-1904.268951,774.684326
8980.838120,-7737.815521,-1910.926392,781.750336
