x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35
1000,-5.33461570739746e-005,984.809330701828,173.639229357243,939.698443651199,342.00414454937,866.036859750748,499.980157256126,766.061175107956,642.767668604851,642.807535648346,766.027722775936,500.019795417786,866.013974547386,342.036066770554,939.686824977398,173.657029390335,984.806192159653,-5.340576171875e-005,1000,-173.65712761879,984.806174874306,-342.036140680313,939.686798095703,-500.019842147827,866.013947665691,-642.807548046112,766.027712404728,-766.061163425446,642.767682790756,-866.03683257103,499.9802044034,-939.698415994644,342.004220366478,-984.809313774109,173.639326453209,-1000,5.22136688232422e-005,-984.809330701828,-173.639229536057,-939.698443174362,-342.004146039486,-866.036857843399,-499.980160474777,-766.061175346375,-642.767668485641,-642.807536840439,-766.027721762657,-500.01979804039,-866.013972997665,-342.036066770554,-939.686824977398,-173.657030344009,-984.806192040443,5.03063201904297e-005,-1000,173.657127141953,-984.80617493391,342.036140918732,-939.686797976494,500.019841194153,-866.013948202133,642.807549953461,-766.027710855007,766.061161994934,-642.767684459686,866.036831855774,-499.980205357075,939.698415994644,-342.004221022129,984.80931353569,-173.639327049255
1000,-7.08699226379395e-005,984.809663057327,173.637344419956,939.699668169022,342.000780344009,866.039266586304,499.975988209248,766.064689397812,642.763480305672,642.811719179153,766.024212121964,500.023949623108,866.01157605648,342.039406299591,939.685609459877,173.65888261795,984.80586540699,-7.05718994140625e-005,1000,-173.659012556076,984.805842459202,-342.039505004883,939.685573458672,-500.02401137352,866.011540293694,-642.811736106873,766.024197995663,-766.064673900604,642.763498663902,-866.039231061935,499.97604984045,-939.699631214142,342.000881493092,-984.809640407562,173.637473702431,-1000,6.94394111633301e-005,-984.809663057327,-173.637344479561,-939.699667453766,-342.000782072544,-866.039264678955,-499.975991427898,-766.064689397812,-642.763480246067,-642.811720132828,-766.024211406708,-500.023951768875,-866.011574804783,-342.039405822754,-939.685609638691,-173.658883810043,-984.805865168571,6.79492950439453e-005,-1000,173.659012079239,-984.805842518806,342.039505004883,-939.685573518276,500.024010658264,-866.011540830135,642.811738491058,-766.024195969105,766.064672231674,-642.763500750065,866.039230108261,-499.976051449776,939.699631214142,-342.000881969929,984.809640169144,-173.637474536896
1000,-9.16719436645508e-005,984.810027360916,173.635278344154,939.701009511948,341.997094869614,866.041903018951,499.97142136097,766.068538665771,642.758892655373,642.816300153732,766.020367980003,500.028498411179,866.008949518204,342.043061733246,939.684278845787,173.660910844803,984.805507659912,-9.1552734375e-005,1000,-173.661079406738,984.805477976799,-342.04319190979,939.68423140049,-500.028578519821,866.008903264999,-642.816324234009,766.020347833633,-766.068518400192,642.75891661644,-866.041857004166,499.971500992775,-939.700961828232,341.997225880623,-984.809997797012,173.635446310043,-1000,9.03606414794922e-005,-984.810027599335,-173.635277986526,-939.70100903511,-341.997095823288,-866.041901350021,-499.971424341202,-766.068538665771,-642.758892536163,-642.8163022995,-766.020366311073,-500.028501272202,-866.008947968483,-342.043061733246,-939.684278845787,-173.660911560059,-984.805507540703,8.89301300048828e-005,-1000,173.661078214645,-984.805478215218,342.043190479279,-939.684231996536,500.028577327728,-866.008903980255,642.816325902939,-766.020346403122,766.068516731262,-642.758918881416,866.041856050491,-499.971502780914,939.700961589813,-341.99722635746,984.809997797012,-173.63544690609
1000,-0.000116586685180664,984.810423851013,173.633030295372,939.702467918396,341.993087410927,866.044769525528,499.966455936432,766.072722911835,642.753905534744,642.82128071785,766.016188502312,500.033442020416,866.006095170975,342.047034978867,939.682832598686,173.663113355637,984.805119276047,-0.000115633010864258,1000,-173.663327455521,984.805081605911,-342.047199487686,939.682772636414,-500.033543348312,866.006036639214,-642.821310758591,766.016163229942,-766.072697162628,642.75393640995,-866.044711112976,499.966557145119,-939.702407360077,341.993253469467,-984.810386180878,173.633244156837,-1000,0.000114917755126953,-984.810423612595,-173.633030653,-939.702467679977,-341.993088006973,-866.044767618179,-499.966459274292,-766.072722434998,-642.75390625,-642.821281671524,-766.016187667847,-500.033444881439,-866.006093621254,-342.047034502029,-939.682832837105,-173.663113594055,-984.805119276047,0.000113725662231445,-1000,173.663326740265,-984.805081725121,342.047198295593,-939.682773113251,500.033542394638,-866.006037116051,642.821312427521,-766.016161799431,766.072695016861,-642.753939032555,866.044709920883,-499.966559410095,939.702407121658,-341.993254303932,984.810385942459,-173.633245587349
1000,-0.000145435333251953,984.810852050781,173.63060104847,939.704043626785,341.988757967949,866.047865629196,499.961092829704,766.077241897583,642.748519539833,642.826658725739,766.011675357819,500.03878068924,866.003012537956,342.051324129105,939.681271314621,173.665489912033,984.804700255394,-0.000144720077514648,1000,-173.66575717926,984.804653167725,-342.051530122757,939.681196331978,-500.038906097412,866.002940177917,-642.826696395874,766.011643648148,-766.077209472656,642.748558163643,-866.047793149948,499.961218714714,-939.703968286514,341.988964915276,-984.810805082321,173.630867958069,-1000,0.000143527984619141,-984.810852050781,-173.630601644516,-939.704043388367,-341.988758444786,-866.04786324501,-499.96109688282,-766.077241659164,-642.74852001667,-642.826659917831,-766.011674404144,-500.038782835007,-866.003011345863,-342.051322221756,-939.681272029877,-173.665489912033,-984.804700255394,0.000142812728881836,-1000,173.665756702423,-984.804653167725,342.051528215408,-939.681197047234,500.038905858994,-866.002940297127,642.826697587967,-766.011642813683,766.077207326889,-642.748560786247,866.047791719437,-499.961220860481,939.703967571259,-341.988966941833,984.810804843903,-173.630869030952
1000,-0.000178694725036621,984.811312437057,173.627989649773,939.705736398697,341.984106183052,866.051191806793,499.955330967903,766.082096338272,642.742733597755,642.832434654236,766.006828308105,500.044512987137,865.999702692032,342.055928468704,939.67959523201,173.668040990829,984.804250359535,-0.000177860260009766,1000,-173.668368577957,984.80419254303,-342.056182384491,939.67950284481,-500.044668197632,865.999613046646,-642.83248090744,766.006789445877,-766.082056522369,642.742781162262,-866.051102399826,499.95548582077,-939.705643892288,341.984360694885,-984.811254739761,173.628317475319,-1000,0.000176787376403809,-984.811312437057,-173.627990365028,-939.705736398697,-341.98410654068,-866.051189184189,-499.955335974693,-766.082095384598,-642.742734909058,-642.832436800003,-766.006826400757,-500.044515371323,-865.99970126152,-342.055927276611,-939.679595708847,-173.668040037155,-984.804250597954,0.00017547607421875,-1000,173.668367862701,-984.804192662239,342.056180715561,-939.679503440857,500.044667005539,-865.999613761902,642.832482337952,-766.006788253784,766.082053422928,-642.742784738541,866.051100969315,-499.955488562584,939.705642938614,-341.984362959862,984.811254501343,-173.628319263458
1000,-0.000216364860534668,984.811805009842,173.625196099281,939.707546710968,341.979131698608,866.054747819901,499.949171185493,766.087285518646,642.736548662186,642.838608503342,766.001647233963,500.050640583038,865.996164560318,342.060848712921,939.677804231644,173.670764923096,984.803770065308,-0.000215291976928711,1000,-173.671163082123,984.803699731827,-342.061157226562,939.677691936493,-500.050828695297,865.996055841446,-642.838665008545,766.001599669456,-766.087236881256,642.7366065979,-866.054639577866,499.949358701706,-939.707434415817,341.979440450668,-984.81173491478,173.625594377518,-1000,0.000214695930480957,-984.811804771423,-173.625196814537,-939.707546710968,-341.979131817818,-866.054745197296,-499.949175596237,-766.087284088135,-642.736550331116,-642.838610887527,-766.001645088196,-500.050642490387,-865.996163368225,-342.060847759247,-939.677804589272,-173.670764446259,-984.803770065308,0.000213384628295898,-1000,173.67116189003,-984.803699970245,342.06115603447,-939.67769241333,500.05082654953,-865.996057033539,642.838666439056,-766.001598596573,766.087234020233,-642.736610174179,866.054637908936,-499.949361562729,939.707433700562,-341.979442596436,984.811734437943,-173.625595808029
1000,-0.000259518623352051,984.812329769135,173.622219443321,939.709474802017,341.973834037781,866.058534145355,499.942612290382,766.092809200287,642.729964733124,642.845180988312,765.996131420135,500.057162284851,865.992398619652,342.06608581543,939.675897836685,173.673663377762,984.803258895874,-0.000257492065429688,1000,-173.674139022827,984.803174972534,-342.066454410553,939.675763607025,-500.057387113571,865.992268800735,-642.845247983932,765.996075153351,-766.092751264572,642.730033755302,-866.058403968811,499.94283747673,-939.709339857101,341.974204659462,-984.812245607376,173.622697234154,-1000,0.000257372856140137,-984.812329530716,-173.622220277786,-939.70947432518,-341.973834753036,-866.058530807495,-499.942617893219,-766.092807292938,-642.729967236519,-642.845182657242,-765.996130108833,-500.05716252327,-865.992398381233,-342.0660841465,-939.675898432732,-173.67366194725,-984.803259134293,0.000256538391113281,-1000,173.674139738083,-984.803174853325,342.06645488739,-939.675763487816,500.057384967804,-865.992270112038,642.8452501297,-765.996073365211,766.092748403549,-642.730037212372,866.0584025383,-499.942840099335,939.709338903427,-341.974206805229,984.812245368958,-173.622698903084
1000,-0.000307798385620117,984.812886714935,173.619060754776,939.711520195007,341.968213200569,866.062550067902,499.935655355453,766.098667383194,642.722982048988,642.852150917053,765.990281939507,500.064077615738,865.98840546608,342.071637392044,939.673876881599,173.676733732224,984.802717328072,-0.000305652618408203,1000,-173.677299261093,984.802617669106,-342.07207608223,939.673717141151,-500.064343452454,865.988251924515,-642.85223031044,765.990215301514,-766.098598957062,642.723063707352,-866.062395572662,499.935923099518,-939.711359739304,341.968653798103,-984.812786817551,173.619627594948,-1000,0.000306248664855957,-984.812886714935,-173.619060993195,-939.711519956589,-341.968214035034,-866.062546730042,-499.935660839081,-766.098666667938,-642.722983002663,-642.852152347565,-765.990280866623,-500.064077854156,-865.988405227661,-342.07163643837,-939.673877239227,-173.676732540131,-984.80271756649,0.000304222106933594,-1000,173.677300453186,-984.802617430687,342.072075605392,-939.67371737957,500.064341545105,-865.988252997398,642.852232694626,-765.990213274956,766.098596334457,-642.723066806793,866.062394142151,-499.935925245285,939.711359262466,-341.968655467033,984.812786579132,-173.619628667831
1000,-0.000361800193786621,984.813476085663,173.61571764946,939.713683128357,341.962269306183,866.06679558754,499.928300380707,766.104861497879,642.715599060059,642.859517812729,765.984099268913,500.07138633728,865.984184861183,342.077502727509,939.671741724014,173.679976701736,984.80214548111,-0.000359773635864258,1000,-173.680642366409,984.802028059959,-342.078020811081,939.671553134918,-500.071698665619,865.984004497528,-642.859612703323,765.984019637108,-766.104780673981,642.715695381165,-866.066614627838,499.928614020348,-939.713494300842,341.96278834343,-984.813358306885,173.616385102272,-1000,0.000360488891601562,-984.813475847244,-173.615718483925,-939.713682889938,-341.962270379066,-866.066792964935,-499.928305029869,-766.104860305786,-642.71560049057,-642.859519958496,-765.984097480774,-500.071386575699,-865.984184741974,-342.077503442764,-939.671741366386,-173.679975986481,-984.802145600319,0.000358104705810547,-1000,173.680644035339,-984.802027702332,342.078019618988,-939.671553492546,500.071697235107,-865.984005331993,642.859614849091,-765.984017848969,766.104777574539,-642.715699076653,866.066613197327,-499.928616523743,939.713493824005,-341.962789773941,984.813358068466,-173.616386294365
