earthx,earthy,probeX0,probeY0,probeX1,probeY1,probeX2,probeY2,probeX3,probeY3,probeX4,probeY4,probeX5,probeY5,probeX6,probeY6,probeX7,probeY7,probeX8,probeY8
8174747.35841157,1563825764.38957,-1997140933.37617,1084791114.44356,-1497004966.72884,1079602176.7477,-996766583.05097,1074501808.23636,-1991902207.73799,1584733472.54423,-1491742620.29545,1579506056.4208,-991384077.701041,1574277946.67916,-1986687614.78602,2084675914.72998,-1486551915.70477,2079410185.73504,-986314419.434566,2074055175.59934
8648544.47805515,1608504802.35056,-1996821617.4072,1130070873.47976,-1496677765.88089,1124734780.5115,-996425549.867792,1119492380.16334,-1991432871.29115,1630009889.58762,-1491264033.91568,1624633085.56004,-990884705.923811,1619255526.70969,-1986069656.49749,2129948997.19501,-1485926096.13146,2124531662.26484,-985674845.794678,2119019859.93595
9135687.47404287,1653183696.80585,-1996489099.94649,1175350584.59242,-1496337141.05387,1169867396.64614,-996070701.65463,1164483168.25866,-1990950314.66851,1675286164.47722,-1490771966.75576,1669759969.74298,-990371267.341038,1664232955.47961,-1985438498.73875,2175221843.6995,-1485286855.94828,2169652837.76891,-985021464.966942,2163984031.08419
9636176.30292572,1697862443.76933,-1996143381.01305,1220630243.83742,-1495983092.24504,1215000021.14072,-995702038.323739,1209474168.40224,-1990454537.91748,1720562293.26454,-1490266418.85956,1714886704.94322,-989843761.953119,1709210228.78674,-1984794141.58494,2220494450.3023,-1484634195.24601,2214773708.24025,-984354277.081555,2208947684.91322
10150010.9200644,1742541039.25491,-1995784460.62721,1265909847.27066,-1495615619.45289,1260132649.98434,-995319559.787945,1254465376.47408,-1989945541.0868,1765838272.00111,-1489747390.27214,1760013287.13438,-989302189.76046,1754187342.42885,-1984136585.11247,2265766813.06231,-1483968114.11663,2259894269.67194,-983673282.269299,2253910817.29202
10677191.2796291,1787219479.27649,-1995412338.81057,1311189390.948,-1495234722.67711,1305265279.16603,-994923265.960651,1299456788.35434,-1989423324.2265,1811114096.73847,-1489214881.03976,1805139712.29006,-988746550.763474,1799164292.20367,-1983465829.39904,2311038928.03853,-1483288612.65336,2305014518.05713,-982978480.661538,2298873424.08942
11217717.3346,1831897759.84802,-1995027015.58603,1356468870.92528,-1494840401.9186,1350397904.67481,-994513156.755839,1344448399.92332,-1988887887.3879,1856389763.52817,-1488668891.20988,1850265976.38392,-988176844.962579,1844141073.9089,-1982781874.52364,2356310791.28999,-1482595690.95057,2350134449.38903,-982269872.390225,2343835501.17408
11771589.0367668,1876575876.98343,-1994628490.97777,1401748283.25831,-1494432657.17947,1395530522.49964,-994089232.088062,1389440207.06143,-1988339230.62363,1901665268.42182,-1488109420.83118,1895392075.3896,-987593072.358202,1889117683.34217,-1982084720.56654,2401582398.87577,-1481889349.10388,2395254059.66091,-981547457.587894,2388797044.4145
12338806.3367287,1921253826.69668,-1994216765.01128,1447027624.0029,-1494011488.46305,1440663128.62945,-993651491.87245,1434432205.64921,-1987777353.98761,1946940607.471,-1487536469.95351,1940518005.28078,-986995232.950775,1934094116.30109,-1981374367.60931,2446853746.85504,-1481169587.21007,2440373344.86612,-980811236.387665,2433758049.67901
12919369.1838949,1965931605.00176,-1993791837.71334,1492306889.21482,-1493576895.77386,1485795719.05312,-993199936.024706,1479424391.56735,-1987202257.53508,1992215776.72735,-1486950038.62796,1985643762.03113,-986383326.740735,1979070368.58321,-1980650815.7348,2492124831.28701,-1480436405.36716,2485492300.99807,-980061208.923243,2478718512.83576
13513277.526484,2010609207.91265,-1993353709.11201,1537586074.94984,-1493128879.11765,1530928289.7595,-992734564.46111,1524416760.69664,-1986613941.32256,2037490772.2425,-1486350126.90679,2030769341.61435,-985757353.728528,2024046435.98603,-1979914065.02715,2537395648.23095,-1479689803.67434,2530610924.05025,-979297375.328919,2523678429.75276
14120531.3115246,2055286631.44336,-1992902379.23664,1582865177.26369,-1492667438.50136,1576060836.73742,-992255377.098516,1569409308.91801,-1986012405.40786,2082765590.06813,-1485736734.84348,2075894740.00415,-985117313.9146,2069022314.307,-1979164115.57178,2582666193.74621,-1478929782.23204,2575729210.01621,-978519735.739567,2568637796.29784
14741130.4848548,2099963871.6079,-1992437848.11788,1628144192.2121,-1492192573.93315,1621193355.97564,-991762373.854351,1614402032.11254,-1985397649.85012,2128040226.25593,-1485109862.49269,2121019953.17427,-984463207.299407,2113997999.34354,-1978400967.4554,2627936463.89218,-1478156341.14186,2620847154.88956,-977728290.290648,2613596608.33865
